epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4712,1.53515,1.2852,1.32946,0.70633,0.58786,0.64883,0.35467,1.56162,1.14298,1.28741,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4916.39,1.53071,1.28565,1.3259,0.71673,0.58375,0.65356,0.35782,1.55039,1.13745,1.27956,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5119.97,1.51945,1.26637,1.32293,0.71583,0.58928,0.65716,0.36168,1.54182,1.12749,1.27815,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5324.11,1.51655,1.27424,1.32058,0.72379,0.58732,0.6553,0.36218,1.53914,1.1203,1.27745,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5527.39,1.5108,1.25449,1.3092,0.73419,0.58321,0.65909,0.36363,1.53982,1.11089,1.27507,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5731.67,1.50278,1.24548,1.30284,0.71952,0.595,0.66126,0.36617,1.54067,1.10396,1.27361,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5935.82,1.49522,1.23432,1.29664,0.72479,0.59946,0.6611,0.3662,1.54003,1.09986,1.27214,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,6144.67,1.4958,1.23866,1.30091,0.7169,0.59554,0.65976,0.36733,1.53191,1.0949,1.26883,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,6349.54,1.49268,1.2294,1.29538,0.7312,0.59679,0.66715,0.37119,1.52693,1.08832,1.26796,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6554.29,1.47695,1.21097,1.29014,0.73427,0.60296,0.67124,0.37446,1.52404,1.08567,1.26292,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,6758.57,1.47466,1.20715,1.28681,0.74771,0.59696,0.67348,0.37749,1.51873,1.08073,1.25998,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6962.07,1.4697,1.19141,1.27782,0.73681,0.60689,0.67424,0.37791,1.51869,1.07893,1.25785,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,7166.3,1.47162,1.1926,1.27744,0.73506,0.6094,0.67544,0.37905,1.51613,1.07635,1.2563,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7370.86,1.46779,1.19086,1.27752,0.7446,0.60786,0.67777,0.38059,1.51117,1.07321,1.25413,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,7574.38,1.45895,1.18018,1.27463,0.74665,0.60857,0.67612,0.38171,1.50619,1.07154,1.25149,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,7778.68,1.45314,1.17339,1.26958,0.74102,0.61143,0.67837,0.38316,1.5027,1.067,1.24981,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7982.86,1.44996,1.1696,1.26605,0.74735,0.61168,0.67949,0.38435,1.49862,1.06052,1.24723,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,8186.83,1.43911,1.14951,1.26329,0.75301,0.60974,0.68043,0.38607,1.49679,1.05778,1.24636,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,8390.96,1.44903,1.1563,1.26431,0.75606,0.60935,0.68214,0.38669,1.49533,1.05371,1.24617,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,8595.06,1.44155,1.1449,1.25933,0.75649,0.61232,0.68505,0.38868,1.49422,1.04812,1.24549,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8798.14,1.42734,1.12885,1.24914,0.75064,0.61839,0.68522,0.38912,1.49121,1.04569,1.24375,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
