epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,307.317,0.98085,1.57302,0.67381,1.24639,0,0.90507,0.89212,0.93293,0.6058,0.92755,0.89838,0.94099,0.62419,1.18857,1.74899,0.71206,1.64474,0,0.0011882,0.0011882,0.0011882
43,315.252,0.96518,1.58315,0.68716,1.25431,0,0.89615,0.80744,0.89387,0.54243,0.93331,0.81871,0.91327,0.58143,1.3022,1.87747,0.85537,1.77439,0,0.0011684,0.0011684,0.0011684
44,323.089,0.96976,1.55034,0.67418,1.24558,0,0.88787,0.83626,0.90349,0.58806,0.90813,0.8538,0.9123,0.61379,1.19859,1.74194,0.76088,1.63825,0,0.0011486,0.0011486,0.0011486
45,329.952,0.94602,1.55726,0.68298,1.23151,0,0.9169,0.88304,0.94418,0.63392,0.90902,0.90643,0.94108,0.64554,1.11267,1.7539,0.6298,1.59318,0,0.0011288,0.0011288,0.0011288
46,336.739,0.94136,1.55368,0.68659,1.22379,0,0.92839,0.80117,0.90656,0.57531,0.90143,0.83626,0.91062,0.59633,1.20161,1.8032,0.84941,1.62938,0,0.001109,0.001109,0.001109
47,343.379,0.94974,1.52436,0.68231,1.23383,0,0.93112,0.86964,0.92507,0.60193,0.95617,0.89304,0.94306,0.60947,1.2142,1.84347,0.7363,1.67076,0,0.0010892,0.0010892,0.0010892
48,350.761,0.95219,1.55393,0.67912,1.24122,0,0.8778,0.87135,0.91378,0.61597,0.8837,0.87719,0.92301,0.60357,1.10738,1.86085,0.65487,1.56031,0,0.0010694,0.0010694,0.0010694
49,357.521,0.93067,1.53185,0.65232,1.21935,0,0.88484,0.90643,0.93172,0.61886,0.9432,0.85965,0.935,0.61412,1.12647,1.82779,0.6529,1.58735,0,0.0010496,0.0010496,0.0010496
50,364.062,0.94739,1.52159,0.67044,1.23562,0,0.92933,0.92284,0.93774,0.64419,0.92933,0.92284,0.93673,0.65339,1.08104,1.76746,0.59915,1.5687,0,0.0010298,0.0010298,0.0010298
51,370.655,0.93459,1.57247,0.67165,1.22002,0,0.91249,0.89474,0.93722,0.61473,0.94878,0.86653,0.94784,0.62741,1.20298,1.81684,0.65188,1.64015,0,0.00101,0.00101,0.00101
52,378.54,0.90345,1.4658,0.62034,1.19874,0,0.91398,0.81871,0.91531,0.5916,0.92051,0.82456,0.92129,0.59884,1.17814,1.91167,0.68866,1.62937,0,0.0009902,0.0009902,0.0009902
53,385.07,0.94074,1.49497,0.61879,1.24097,0,0.87579,0.87135,0.92677,0.6273,0.87579,0.87135,0.92577,0.63069,1.15868,1.80642,0.68388,1.58905,0,0.0009704,0.0009704,0.0009704
54,391.524,0.92172,1.52742,0.62756,1.20771,0,0.9381,0.88623,0.93482,0.64133,0.9454,0.91138,0.9487,0.64354,1.09702,1.78486,0.61393,1.53794,0,0.0009506,0.0009506,0.0009506
55,398.695,0.90943,1.52989,0.62955,1.20255,0,0.93759,0.88889,0.93931,0.62825,0.94376,0.89474,0.93875,0.64216,1.11295,1.73742,0.62151,1.57755,0,0.0009308,0.0009308,0.0009308
56,405.338,0.88314,1.4652,0.59706,1.19691,0,0.93129,0.88304,0.93969,0.64265,0.91895,0.87135,0.92653,0.63294,1.08943,1.84629,0.60512,1.5469,0,0.000911,0.000911,0.000911
57,411.836,0.90774,1.51158,0.61961,1.20223,0,0.97212,0.87135,0.95504,0.64155,0.97864,0.87719,0.94453,0.64394,1.11056,1.8032,0.61737,1.57041,0,0.0008912,0.0008912,0.0008912
58,418.27,0.89158,1.44909,0.60975,1.19532,0,0.8962,0.90883,0.93506,0.64834,0.8962,0.90883,0.93606,0.64927,1.06185,1.70307,0.68041,1.52654,0,0.0008714,0.0008714,0.0008714
59,424.824,0.89839,1.4734,0.60967,1.20926,0,0.95714,0.91408,0.94908,0.64318,0.95611,0.91228,0.94784,0.66041,1.17075,1.80644,0.59501,1.62114,0,0.0008516,0.0008516,0.0008516
60,431.418,0.89492,1.43394,0.59,1.18972,0,0.94536,0.91059,0.93991,0.62837,0.94536,0.91059,0.93863,0.6356,1.11488,1.82259,0.61049,1.61281,0,0.0008318,0.0008318,0.0008318
61,437.966,0.87477,1.44994,0.59445,1.19354,0,0.96545,0.89474,0.95487,0.66234,0.95914,0.88889,0.94176,0.65136,1.06969,1.71916,0.5738,1.53561,0,0.000812,0.000812,0.000812
62,445.431,0.87687,1.41177,0.58373,1.19162,0,0.93241,0.90643,0.93761,0.65675,0.93843,0.91228,0.93686,0.65379,1.07862,1.73221,0.62132,1.54552,0,0.0007922,0.0007922,0.0007922
63,453.035,0.88487,1.44427,0.58142,1.203,0,0.90353,0.87637,0.92369,0.63057,0.91571,0.88941,0.92431,0.63244,1.10718,1.87468,0.63399,1.57878,0,0.0007724,0.0007724,0.0007724
64,459.589,0.89938,1.48179,0.58444,1.19763,0,0.92101,0.88647,0.94589,0.65545,0.94781,0.89474,0.95074,0.66739,1.08075,1.68178,0.5956,1.5341,0,0.0007526,0.0007526,0.0007526
65,466.143,0.84772,1.41056,0.57767,1.16483,0,0.88917,0.94737,0.95241,0.66164,0.86149,0.91813,0.92321,0.64863,1.04833,1.74915,0.57814,1.56641,0,0.0007328,0.0007328,0.0007328
66,472.689,0.86701,1.44284,0.5807,1.16961,0,0.95447,0.85817,0.93439,0.64418,0.95445,0.87135,0.93447,0.63354,1.06774,1.7993,0.6597,1.54374,0,0.000713,0.000713,0.000713
67,479.24,0.8406,1.37274,0.56861,1.16386,0,0.92028,0.87762,0.9365,0.65102,0.92275,0.87719,0.93796,0.66077,1.07778,1.65976,0.62317,1.54078,0,0.0006932,0.0006932,0.0006932
68,485.827,0.84251,1.41235,0.56291,1.16517,0,0.90888,0.90643,0.93164,0.60558,0.92151,0.91813,0.94054,0.62764,1.14912,1.78932,0.65645,1.67584,0,0.0006734,0.0006734,0.0006734
69,492.477,0.84866,1.37698,0.56521,1.16383,0,0.8916,0.91813,0.93697,0.63649,0.92723,0.89423,0.94394,0.63568,1.08176,1.79934,0.6317,1.55305,0,0.0006536,0.0006536,0.0006536
70,499.059,0.85942,1.39852,0.56915,1.17512,0,0.94222,0.91228,0.95318,0.65008,0.92844,0.90058,0.93666,0.65461,1.06654,1.65258,0.57276,1.52196,0,0.0006338,0.0006338,0.0006338
71,505.617,0.81854,1.36046,0.52435,1.16036,0,0.94844,0.90058,0.94708,0.64981,0.96096,0.91228,0.95188,0.64111,1.07394,1.72507,0.58381,1.57962,0,0.000614,0.000614,0.000614
72,512.17,0.83087,1.3963,0.55138,1.14631,0,0.90511,0.88889,0.93038,0.63348,0.95737,0.87719,0.93364,0.64883,1.10612,1.73649,0.59503,1.59069,0,0.0005942,0.0005942,0.0005942
73,518.793,0.82578,1.35097,0.53765,1.14769,0,0.98675,0.87093,0.95469,0.67289,0.98012,0.86508,0.94494,0.6652,1.0106,1.65964,0.56458,1.49933,0,0.0005744,0.0005744,0.0005744
74,525.424,0.82509,1.39087,0.55456,1.14117,0,0.93887,0.88889,0.94858,0.6776,0.93887,0.88889,0.94166,0.65956,1.0327,1.74048,0.60368,1.50993,0,0.0005546,0.0005546,0.0005546
75,533.256,0.83555,1.42802,0.55395,1.16225,0,0.92442,0.90058,0.93494,0.6719,0.9462,0.92574,0.95498,0.67292,1.01252,1.67605,0.57274,1.4731,0,0.0005348,0.0005348,0.0005348
76,540.108,0.82831,1.42894,0.56369,1.14042,0,0.93321,0.87719,0.93297,0.64742,0.93321,0.87719,0.93719,0.65235,1.06284,1.72661,0.59694,1.53063,0,0.000515,0.000515,0.000515
77,546.651,0.8075,1.35845,0.53516,1.13646,0,0.90349,0.87596,0.91396,0.64161,0.91547,0.88666,0.92842,0.62768,1.07244,1.79033,0.62436,1.54612,0,0.0004952,0.0004952,0.0004952
78,554.103,0.80911,1.36481,0.53608,1.13652,0,0.95549,0.91228,0.94688,0.66285,0.96557,0.91813,0.95033,0.66149,1.02957,1.78877,0.55157,1.54093,0,0.0004754,0.0004754,0.0004754
79,560.87,0.79289,1.33977,0.51507,1.14132,0,0.91646,0.91813,0.95001,0.68409,0.96033,0.88304,0.94865,0.67741,0.99525,1.67323,0.55698,1.45332,0,0.0004556,0.0004556,0.0004556
80,567.391,0.77702,1.3167,0.49921,1.12059,0,0.94743,0.84308,0.93473,0.66166,0.93833,0.84795,0.93082,0.66252,1.02914,1.68898,0.59598,1.48913,0,0.0004358,0.0004358,0.0004358
